hier_cell	owner	ref	ram_mode	READ_WIDTH_A	READ_WIDTH_B	WRITE_WIDTH_A	WRITE_WIDTH_B	DOA_REG	DOB_REG	EN_ECC_READ	EN_ECC_WRITE	clk_nets	addr_a_sig_count	addr_b_sig_count	en_nets	we_sig_count	di_signal_count	do_signal_count	dip_signal	dip_const	dip_unconnected	dop_signal	dop_const	dop_unconnected	dip_nets_summary	dop_nets_summary	control_group_key	class_hint	classification	tags
u_a/mem_reg_0	u_a	RAMB36E1	SDP	72	0	0	72	0	0	0	0	u_a/ui_clk	8	8		1	64	64	8	0	0	8	0	0	S:DIPADIP[3]=wr_data[67],S:DIPADIP[2]=wr_data[66],S:DIPADIP[1]=wr_data[65],S:DIPADIP[0]=wr_data[64],S:DIPBDIP[3]=wr_data[71],S:DIPBDIP[2]=wr_data[70],S:DIPBDIP[1]=wr_data[69],S:DIPBDIP[0]=wr_data[68]	S:DOPADOP[3]=a_rd_data[67],S:DOPADOP[2]=a_rd_data[66],S:DOPADOP[1]=a_rd_data[65],S:DOPADOP[0]=a_rd_data[64],S:DOPBDOP[3]=a_rd_data[71],S:DOPBDOP[2]=a_rd_data[70],S:DOPBDOP[1]=a_rd_data[69],S:DOPBDOP[0]=a_rd_data[68]	u_a|SDP|rw72|CLK={u_a/ui_clk}|ADRA_HASH=8	FULL_X72_PAYLOAD	FULL_X72_PAYLOAD	PARITY_USED_AS_PAYLOAD
u_a/mem_reg_1	u_a	RAMB36E1	SDP	72	0	0	72	0	0	0	0	u_a/ui_clk	8	8		1	56	56	0	8	0	0	0	8	C:DIPADIP[3],C:DIPADIP[2],C:DIPADIP[1],C:DIPADIP[0],C:DIPBDIP[3],C:DIPBDIP[2],C:DIPBDIP[1],C:DIPBDIP[0]		u_a|SDP|rw72|CLK={u_a/ui_clk}|ADRA_HASH=8	UNKNOWN	WIDTH_BOUND	PARITY_UNUSED_NO_TILE_GAIN;TAIL_FRAGMENT_32b_IN_X72_SHELL
u_core/u_a/mem_reg_0_0	u_a	RAMB36E1	TDP	1	1	1	1	0	0	0	0	u_core/u_a/clk50	16	16	u_core/u_a/mem_reg_3_7_0	1	1	0	0	6	2	0	0	8	C:DIPADIP[3],C:DIPADIP[2],C:DIPADIP[1],C:DIPBDIP[3],C:DIPBDIP[2],C:DIPBDIP[1]		u_a|TDP|rw1|CLK={u_core/u_a/clk50}|ADRA_HASH=16	BIT_SLICED_PORT_BOUND	BIT_SLICED_PORT_BOUND	PARITY_UNUSED_NO_TILE_GAIN
u_core/u_a/mem_reg_0_1	u_a	RAMB36E1	TDP	1	1	1	1	0	0	0	0	u_core/u_a/clk50	16	16	u_core/u_a/mem_reg_3_7_0	1	1	0	0	6	2	0	0	8	C:DIPADIP[3],C:DIPADIP[2],C:DIPADIP[1],C:DIPBDIP[3],C:DIPBDIP[2],C:DIPBDIP[1]		u_a|TDP|rw1|CLK={u_core/u_a/clk50}|ADRA_HASH=16	BIT_SLICED_PORT_BOUND	BIT_SLICED_PORT_BOUND	PARITY_UNUSED_NO_TILE_GAIN
u_core/u_a/mem_reg_0_10	u_a	RAMB36E1	TDP	1	1	1	1	0	0	0	0	u_core/u_a/clk50	16	16	u_core/u_a/mem_reg_3_7_0	1	1	0	0	6	2	0	0	8	C:DIPADIP[3],C:DIPADIP[2],C:DIPADIP[1],C:DIPBDIP[3],C:DIPBDIP[2],C:DIPBDIP[1]		u_a|TDP|rw1|CLK={u_core/u_a/clk50}|ADRA_HASH=16	BIT_SLICED_PORT_BOUND	BIT_SLICED_PORT_BOUND	PARITY_UNUSED_NO_TILE_GAIN
u_core/u_a/mem_reg_0_11	u_a	RAMB36E1	TDP	1	1	1	1	0	0	0	0	u_core/u_a/clk50	16	16	u_core/u_a/mem_reg_3_7_0	1	1	0	0	6	2	0	0	8	C:DIPADIP[3],C:DIPADIP[2],C:DIPADIP[1],C:DIPBDIP[3],C:DIPBDIP[2],C:DIPBDIP[1]		u_a|TDP|rw1|CLK={u_core/u_a/clk50}|ADRA_HASH=16	BIT_SLICED_PORT_BOUND	BIT_SLICED_PORT_BOUND	PARITY_UNUSED_NO_TILE_GAIN
u_core/u_a/mem_reg_0_12	u_a	RAMB36E1	TDP	1	1	1	1	0	0	0	0	u_core/u_a/clk50	16	16	u_core/u_a/mem_reg_3_7_0	1	1	0	0	6	2	0	0	8	C:DIPADIP[3],C:DIPADIP[2],C:DIPADIP[1],C:DIPBDIP[3],C:DIPBDIP[2],C:DIPBDIP[1]		u_a|TDP|rw1|CLK={u_core/u_a/clk50}|ADRA_HASH=16	BIT_SLICED_PORT_BOUND	BIT_SLICED_PORT_BOUND	PARITY_UNUSED_NO_TILE_GAIN
u_core/u_a/mem_reg_0_13	u_a	RAMB36E1	TDP	1	1	1	1	0	0	0	0	u_core/u_a/clk50	16	16	u_core/u_a/mem_reg_3_7_0	1	1	0	0	6	2	0	0	8	C:DIPADIP[3],C:DIPADIP[2],C:DIPADIP[1],C:DIPBDIP[3],C:DIPBDIP[2],C:DIPBDIP[1]		u_a|TDP|rw1|CLK={u_core/u_a/clk50}|ADRA_HASH=16	BIT_SLICED_PORT_BOUND	BIT_SLICED_PORT_BOUND	PARITY_UNUSED_NO_TILE_GAIN
u_core/u_a/mem_reg_0_14	u_a	RAMB36E1	TDP	1	1	1	1	0	0	0	0	u_core/u_a/clk50	16	16	u_core/u_a/mem_reg_3_7_0	1	1	0	0	6	2	0	0	8	C:DIPADIP[3],C:DIPADIP[2],C:DIPADIP[1],C:DIPBDIP[3],C:DIPBDIP[2],C:DIPBDIP[1]		u_a|TDP|rw1|CLK={u_core/u_a/clk50}|ADRA_HASH=16	BIT_SLICED_PORT_BOUND	BIT_SLICED_PORT_BOUND	PARITY_UNUSED_NO_TILE_GAIN
u_core/u_a/mem_reg_0_15	u_a	RAMB36E1	TDP	1	1	1	1	0	0	0	0	u_core/u_a/clk50	16	16	u_core/u_a/mem_reg_3_7_0	1	1	0	0	6	2	0	0	8	C:DIPADIP[3],C:DIPADIP[2],C:DIPADIP[1],C:DIPBDIP[3],C:DIPBDIP[2],C:DIPBDIP[1]		u_a|TDP|rw1|CLK={u_core/u_a/clk50}|ADRA_HASH=16	BIT_SLICED_PORT_BOUND	BIT_SLICED_PORT_BOUND	PARITY_UNUSED_NO_TILE_GAIN
