cell	ref	ram_mode	rw_a	rw_b	ww_a	ww_b	l1	l2	l3
u_a/mem_reg_0	RAMB36E1	SDP	72	0	0	72	u_a	mem_reg_0	-
u_a/mem_reg_1	RAMB36E1	SDP	72	0	0	72	u_a	mem_reg_1	-
u_core/u_a/mem_reg_0_0	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_0_0
u_core/u_a/mem_reg_0_1	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_0_1
u_core/u_a/mem_reg_0_10	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_0_10
u_core/u_a/mem_reg_0_11	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_0_11
u_core/u_a/mem_reg_0_12	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_0_12
u_core/u_a/mem_reg_0_13	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_0_13
u_core/u_a/mem_reg_0_14	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_0_14
u_core/u_a/mem_reg_0_15	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_0_15
u_core/u_a/mem_reg_0_2	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_0_2
u_core/u_a/mem_reg_0_3	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_0_3
u_core/u_a/mem_reg_0_4	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_0_4
u_core/u_a/mem_reg_0_5	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_0_5
u_core/u_a/mem_reg_0_6	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_0_6
u_core/u_a/mem_reg_0_7	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_0_7
u_core/u_a/mem_reg_0_8	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_0_8
u_core/u_a/mem_reg_0_9	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_0_9
u_core/u_a/mem_reg_1_0	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_1_0
u_core/u_a/mem_reg_1_1	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_1_1
u_core/u_a/mem_reg_1_10	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_1_10
u_core/u_a/mem_reg_1_11	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_1_11
u_core/u_a/mem_reg_1_12	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_1_12
u_core/u_a/mem_reg_1_13	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_1_13
u_core/u_a/mem_reg_1_14	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_1_14
u_core/u_a/mem_reg_1_15	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_1_15
u_core/u_a/mem_reg_1_2	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_1_2
u_core/u_a/mem_reg_1_3	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_1_3
u_core/u_a/mem_reg_1_4	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_1_4
u_core/u_a/mem_reg_1_5	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_1_5
u_core/u_a/mem_reg_1_6	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_1_6
u_core/u_a/mem_reg_1_7	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_1_7
u_core/u_a/mem_reg_1_8	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_1_8
u_core/u_a/mem_reg_1_9	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_1_9
u_core/u_a/mem_reg_2_0	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_2_0
u_core/u_a/mem_reg_2_1	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_2_1
u_core/u_a/mem_reg_2_10	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_2_10
u_core/u_a/mem_reg_2_11	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_2_11
u_core/u_a/mem_reg_2_12	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_2_12
u_core/u_a/mem_reg_2_13	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_2_13
u_core/u_a/mem_reg_2_14	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_2_14
u_core/u_a/mem_reg_2_15	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_2_15
u_core/u_a/mem_reg_2_2	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_2_2
u_core/u_a/mem_reg_2_3	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_2_3
u_core/u_a/mem_reg_2_4	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_2_4
u_core/u_a/mem_reg_2_5	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_2_5
u_core/u_a/mem_reg_2_6	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_2_6
u_core/u_a/mem_reg_2_7	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_2_7
u_core/u_a/mem_reg_2_8	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_2_8
u_core/u_a/mem_reg_2_9	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_2_9
u_core/u_a/mem_reg_3_0	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_3_0
u_core/u_a/mem_reg_3_1	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_3_1
u_core/u_a/mem_reg_3_10	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_3_10
u_core/u_a/mem_reg_3_11	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_3_11
u_core/u_a/mem_reg_3_12	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_3_12
u_core/u_a/mem_reg_3_13	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_3_13
u_core/u_a/mem_reg_3_14	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_3_14
u_core/u_a/mem_reg_3_15	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_3_15
u_core/u_a/mem_reg_3_2	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_3_2
u_core/u_a/mem_reg_3_3	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_3_3
u_core/u_a/mem_reg_3_4	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_3_4
u_core/u_a/mem_reg_3_5	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_3_5
u_core/u_a/mem_reg_3_6	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_3_6
u_core/u_a/mem_reg_3_7	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_3_7
u_core/u_a/mem_reg_3_8	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_3_8
u_core/u_a/mem_reg_3_9	RAMB36E1	TDP	1	1	1	1	u_core	u_a	mem_reg_3_9
u_core/u_snap/mem_reg_0	RAMB36E1	TDP	9	9	9	9	u_core	u_snap	mem_reg_0
u_core/u_snap/mem_reg_1	RAMB36E1	TDP	9	9	9	9	u_core	u_snap	mem_reg_1
u_core/u_w/TILE.u_bank/mem_reg_0_0	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_0_1	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_0_2	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_0_3	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_0_4	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_0_5	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_0_6	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_0_7	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_1_0	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_1_1	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_1_2	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_1_3	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_1_4	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_1_5	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_1_6	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_1_7	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_2_0	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_2_1	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_2_2	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_2_3	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_2_4	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_2_5	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_2_6	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_2_7	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_3_0	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_3_1	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_3_2	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_3_3	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_3_4	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_3_5	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_3_6	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_core/u_w/TILE.u_bank/mem_reg_3_7	RAMB36E1	TDP	1	1	1	1	u_core	u_w	TILE.u_bank
u_w/CH[0].ram0_reg_0	RAMB36E1	SDP	72	0	0	72	u_w	CH[0].ram0_reg_0	-
u_w/CH[0].ram0_reg_1	RAMB36E1	SDP	72	0	0	72	u_w	CH[0].ram0_reg_1	-
u_w/CH[0].ram1_reg_0	RAMB36E1	SDP	72	0	0	72	u_w	CH[0].ram1_reg_0	-
u_w/CH[0].ram1_reg_1	RAMB36E1	SDP	72	0	0	72	u_w	CH[0].ram1_reg_1	-
u_w/CH[1].ram0_reg_0	RAMB36E1	SDP	72	0	0	72	u_w	CH[1].ram0_reg_0	-
u_w/CH[1].ram0_reg_1	RAMB36E1	SDP	72	0	0	72	u_w	CH[1].ram0_reg_1	-
u_w/CH[1].ram1_reg_0	RAMB36E1	SDP	72	0	0	72	u_w	CH[1].ram1_reg_0	-
u_w/CH[1].ram1_reg_1	RAMB36E1	SDP	72	0	0	72	u_w	CH[1].ram1_reg_1	-
u_w/CH[2].ram0_reg_0	RAMB36E1	SDP	72	0	0	72	u_w	CH[2].ram0_reg_0	-
u_w/CH[2].ram0_reg_1	RAMB36E1	SDP	72	0	0	72	u_w	CH[2].ram0_reg_1	-
u_w/CH[2].ram1_reg_0	RAMB36E1	SDP	72	0	0	72	u_w	CH[2].ram1_reg_0	-
u_w/CH[2].ram1_reg_1	RAMB36E1	SDP	72	0	0	72	u_w	CH[2].ram1_reg_1	-
u_w/CH[3].ram0_reg_0	RAMB36E1	SDP	72	0	0	72	u_w	CH[3].ram0_reg_0	-
u_w/CH[3].ram0_reg_1	RAMB36E1	SDP	72	0	0	72	u_w	CH[3].ram0_reg_1	-
u_w/CH[3].ram1_reg_0	RAMB36E1	SDP	72	0	0	72	u_w	CH[3].ram1_reg_0	-
u_w/CH[3].ram1_reg_1	RAMB36E1	SDP	72	0	0	72	u_w	CH[3].ram1_reg_1	-
u_w/CH[4].ram0_reg_0	RAMB36E1	SDP	72	0	0	72	u_w	CH[4].ram0_reg_0	-
u_w/CH[4].ram0_reg_1	RAMB36E1	SDP	72	0	0	72	u_w	CH[4].ram0_reg_1	-
u_w/CH[4].ram1_reg_0	RAMB36E1	SDP	72	0	0	72	u_w	CH[4].ram1_reg_0	-
